Nº registro,Completo Parte,Edificio / Parte,Tipo vía,Calle,Portal,Piso,Municipio,Localidad,Código postal,Provincia,Zona climática,Año construcción,Normativa,Datos catastrales,Tipo edificio,Alcance edificio,Fecha inicio de vigencia,Fecha fin de vigencia,Superficie habitable,Superficie calefactada,Superficie refrigerada,Consumo anual,Emisiones anuales,Calificación energética,Calificación energ. emisiones,Más datos,Cod. calle,Cod. portal,Cod. provincia,Cod. municipio,Cod. localidad,Nº viviendas,Comunidad autónoma,Procedimiento,Cal. Grado Centralizacion,Cal. Equipo Principal,Cal. Tipo Energia,ACS Grado Centralizacion,ACS Equipo Principal,ACS Tipo Energia
CEE/CAPV/2013/00000271/R01,0,CASA 5A,Bidea/Camino,Camino Viejo,1,CASA 5A,Oyón-Oion,Oyón-Oion,1320.0,Araba/Álava,D1,1998,Anterior NBE-CT-79,430202730000050001EQ,ViviendaUnifamiliar,Nuevo,2023-09-18,2033-09-18,148.32,100,100,272.83,55.11,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00000271-R01,130104300000560.0,80104300007200.0,1,43,10104300000048,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,CALDERA SAUNIER DUVAL THEMIS TWIN 28,Gas natural
CEE/CAPV/2013/00000346/A02,0,Residencial Zubito nº5,Auzoa/Barrio,Zubito,5,UNIFAMILIAR,Ayala/Aiara,Arespalditza/Respaldiza | Arespalditza / Respaldiza,1476.0,Araba/Álava,D1,2000,Anterior NBE-CT-79,0010-0003-0257-0004,ViviendaUnifamiliar,Existente,2025-05-28,2035-05-28,159.5,100,0,328.6,69.5,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00000346-A02,130101000001770.0,80101000010990.0,1,10,10101000000308,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)",Equipos individuales,Equipo mixto para calefaccion y ACS,"GLP (Butano, propano...)"
CEE/CAPV/2013/00001391/A01,1,"C/ Zabalbidea, 1",Kalea/Calle,Zabalbidea,1,UNIFAMILIAR,Zigoitia,Zaitegi,1138.0,Araba/Álava,D1,1998,NBE-CT-79,180202040000010001FX,ViviendaUnifamiliar,Nuevo,2023-08-05,2033-08-05,134.91,100,0,106.7,18.1,C,B,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001391-A01,130101800001540.0,80101800006310.0,1,18,10101800000210,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
CEE/CAPV/2013/00001763/R01,0,Planta baja,Kalea/Calle,Virgen del Carmen,27,Bajo,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1982,Anterior NBE-CT-79,360400320000030018IX,LocalUsoTerciario,Nuevo,2023-10-24,2033-10-24,535.0,100,100,325.7,55.2,F,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001763-R01,130103600001150.0,80103600010120.0,1,36,10103600000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Termo,Electricidad
CEE/CAPV/2013/00001895/R01,1,CARRETERA BERGARA 5 A,Errepidea/Carretera,Bergara,5,A,Arratzua-Ubarrundia,Mendibil,1520.0,Araba/Álava,D1,2003,NBE-CT-79,080300110000010001BZ,ViviendaUnifamiliar,Nuevo,2023-07-31,2033-07-31,298.69,26,0,157.0,36.0,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001895-R01,130100800000470.0,80100800001958.0,1,8,10100800000128,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,EQUIPO TERMODINÁMICO,ENERGÍA AMBIENTE Y SOLAR
CEE/CAPV/2013/00001925/R01,1,CASERÍO EN IBAGÜEN Nº2,Auzoa/Barrio,Ibaguen,2,caserio,Ayala/Aiara,Quejana/Kexaa | Diseminado,1477.0,Araba/Álava,D1,1860,Anterior NBE-CT-79,0010-0006-0215-0001,ViviendaUnifamiliar,Nuevo,2024-06-05,2034-06-05,273.34,100,0,337.8,89.1,E,F,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2013-00001925-R01,130101000000560.0,80101000005412.0,1,10,10101000000294,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gasóleo,Equipos individuales,Equipo mixto para generación de calefacción y ACS,Gasóleo
CEE/CAPV/2014/00007609/R01,1,BLOQUE DE 4 VIVIENDAS Y LOCALES,Kalea/Calle,La Cruz,7,UNIFAMILIAR,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,1322.0,Araba/Álava,D1,2009,CTE 2006,39020861000001,BloqueDeViviendaCompleto,Nuevo,2024-11-26,2034-11-26,272.9,100,0,125.1,21.4,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00007609-R01,130103900000040.0,80103900003260.0,1,39,10103900000010,4.0,Euskadi,CEXv2.3,Equipos individuales,Efecto Joule / Radiador,Electricidad,Centralizado,Intercambiador de placas,PLACAS SOLARES TERMICAS
CEE/CAPV/2014/00012209/R01,0,"ELEXONDO 5, 3 F",Kalea/Calle,Elexondo,5,3F,Amurrio,Amurrio,1470.0,Araba/Álava,D1,1997,Anterior NBE-CT-79,02 0014 0019 000 0003 006,ViviendaIndividualEnBloque,Existente,2026-02-05,2036-02-05,93.0,100,0,186.8,39.6,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00012209-R01,130100200000340.0,80100200012330.0,1,2,10100200000023,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2014/00012951/R01,1,LATIORRONDO Nº5,Kalea/Calle,Latiorrondo,5,UNIFAMILIAR,Laudio/Llodio,Laudio/Llodio,1400.0,Araba/Álava,D1,1955,Anterior NBE-CT-79,36050061000001,BloqueDeViviendaCompleto,Existente,2025-11-03,2035-11-03,491.35,100,0,278.7,53.8,F,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00012951-R01,130103600000680.0,80103600006647.0,1,36,10103600000016,10.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,Gas natural,Equipos individuales,Caldera estandar,Gas natural
CEE/CAPV/2014/00013589/R01,1,17 viviendas en LAPUEBLA DE LABARCA,Etorbidea/Avenida,Excelentísima Diputación,31,UNIFAMILIAR,Lapuebla de Labarca,Lapuebla de Labarca,1306.0,Araba/Álava,D1,2010,CTE 2006,33000304430000001,BloqueDeViviendaCompleto,Existente,2025-05-07,2035-05-07,1495.0,100,0,123.0,27.79,D,D,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00013589-R01,130103300000020.0,80103300007570.0,1,33,10103300000013,17.0,Euskadi,CEXv2.3,Centralizado,Caldera condensación,"GLP (Butano, propano...)",Centralizado,Caldera condensación,"GLP (Butano, propano...)"
CEE/CAPV/2014/00014754/R01,0,VIVIENDA SEGUNDO DERECHA,Kalea/Calle,Antonio Diez Caballero,7,2ºDcha,Elciego,Elciego,1340.0,Araba/Álava,D1,1978,Anterior NBE-CT-79,221004600000010003KR,ViviendaIndividualEnBloque,Nuevo,2024-03-22,2034-03-22,95.6,100,0,247.1,52.2,E,E,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00014754-R01,130102200000040.0,80102200000643.0,1,22,10102200000016,1.0,Euskadi,CEXv2.3,Equipos individuales,Caldera estandar,"GLP (Butano, propano...)",Equipos individuales,Caldera estandar,"GLP (Butano, propano...)"
CEE/CAPV/2014/00014770/A02,1,EDERKI 6 -ARBULU,Kalea/Calle,Ederki,6,UNIFAMILIAR,Elburgo/Burgelu,Arbulu,1192.0,Araba/Álava,D1,2003,NBE-CT-79,21010376000001000,ViviendaUnifamiliar,Existente,2026-05-04,2036-05-04,212.5,100,0,23.1,5.0,A,A,https://api.euskadi.eus/energy-efficiency/certificates/CEE-CAPV-2014-00014770-A02,130102100000060.0,80102100003100.0,1,21,10102100000023,1.0,Euskadi,CEXv2.3,Equipos individuales,Bomba de calor,Electricidad,Equipos individuales,Bomba de calor,Electricidad
